Invoice,TotalItems
490323,201
490324,320
490326,62
490327,600
490331,115
490340,363
490341,270
490342,96
490346,156
490347,68
490349,9
490353,445
490355,287
490356,103
490359,10
490360,34
490362,203
490363,192
490364,25
490365,120
490366,147
490367,8
490368,18
490369,44
490370,177
490371,185
490372,95
490373,146
490374,65
490375,185
490376,389
490377,12
490378,134
490380,142
490381,141
490382,397
490383,50
490385,348
490386,473
490387,130
490388,84
490389,611
490390,104
490391,100
490392,56
490393,281
490394,260
490395,167
490396,77
490397,142
490398,236
490399,115
490400,183
490401,49
490403,150
490404,33
490405,57
490408,128
490430,83
490458,388
490459,416
490461,381
490463,50
490464,43
490465,478
490466,79
490467,169
490468,164
490470,166
490471,71
490472,340
490473,185
490474,336
490476,98
490477,158
490478,129
490479,778
490481,5
490482,147
490483,28
490484,44
490485,63
490486,72
490487,32
490488,503
490489,87
490490,313
490491,85
490493,3
490494,85
490496,336
490499,356
490500,188
490501,424
490502,26
490503,241
490504,95
490505,34
490506,47
490508,130
490511,208
490512,85
490514,47
490515,38
490516,146
490518,290
490519,89
490521,102
490522,56
490524,234
490525,92
490526,315
490527,105
490528,51
490529,28
490530,56
490531,95
490533,235
490534,127
490535,182
490536,78
490537,149
490538,146
490539,188
490542,120
490545,4
490547,88
490548,146
490557,318
490561,14
490563,372
490564,132
490569,122
490577,112
490603,148
490604,612
490605,88
490606,98
490607,71
490608,74
490609,166
490610,150
490611,135
490612,441
490613,96
490616,128
490618,22
490625,108
490636,164
490637,236
490638,58
490640,156
490641,60
490642,315
490653,396
490657,119
490659,112
490665,30
490667,121
490668,199
490669,68
490670,63
490671,144
490672,504
490673,62
490674,106
490675,218
490676,122
490677,100
490678,93
490679,335
490680,245
490681,65
490682,68
490683,304
490684,62
490685,1037
490686,106
490687,325
490689,133
490690,58
490691,72
490692,203
490693,97
490694,408
490695,40
490697,112
490703,76
490704,90
490705,80
490706,331
490707,70
490708,95
490709,127
490710,84
490711,148
490712,100
490714,1
490717,209
490718,182
490719,442
490720,85
490722,217
490724,306
490725,308
490726,288
490727,146
490728,198
490733,71
490734,105
490737,264
490738,10
490747,3
490749,268
490750,192
490751,309
490752,96
490753,215
490754,138
490755,216
490757,221
490759,48
490760,1
490761,123
490762,241
490763,400
490764,107
490767,22
490769,180
490770,65
490782,255
490785,984
490786,36
490789,89
490796,273
490797,90
490800,12
490801,400
490802,10
490803,148
490804,319
490805,94
490806,13
490808,91
490809,48
490810,128
490811,246
490817,762
490823,288
490834,326
490836,2
490838,3
490846,272
490847,371
490851,90
490855,216
490863,59
490871,315
490881,1
490893,76
490899,473
490905,461
490917,74
490920,22
490921,12
490922,30
490924,91
490925,277
490926,122
490927,84
490928,145
490930,48
490932,8
490933,888
490936,172
490937,1376
490938,139
490940,1
490941,190
490944,48
490945,21
490948,1
490953,428
490954,103
490956,1392
490957,1749
490958,120
490959,138
490961,161
490962,430
490964,51
490966,101
490968,276
490971,224
490972,413
490978,140
490981,103
490982,4
490984,162
490989,282
490990,105
490992,168
490998,232
490999,2
491006,130
491007,226
491008,87
491009,208
491010,320
491011,213
491014,285
491024,144
491025,96
491026,48
491033,174
491034,122
491035,81
491038,172
491039,60
491044,74
491045,64
491048,262
491049,678
491050,196
491051,261
491054,108
491055,65
491056,358
491057,28
491058,193
491059,174
491060,72
491061,81
491062,80
491063,46
491064,69
491067,338
491068,267
491069,418
491070,68
491071,106
491072,5
491073,324
491074,8
491075,112
491077,164
491078,137
491079,171
491081,102
491082,545
491083,150
491085,12
491086,143
491089,64
491090,123
491091,1544
491092,351
491093,410
491094,1
491095,44
491096,85
491097,216
491098,67
491100,14
491101,218
491102,15
491103,174
491104,322
491105,143
491109,104
491111,185
491112,111
491113,431
491116,139
491118,373
491122,412
491123,384
491124,362
491125,424
491126,274
491127,68
491129,12
491131,2
491132,72
491133,1500
491136,504
491138,75
491143,52
491144,228
491145,44
491146,94
491147,20
491148,2604
491149,360
491150,240
491151,260
491152,124
491153,147
491154,123
491158,270
491159,140
491160,147
491161,37
491163,72
491164,17
491165,422
491169,10
491170,415
491171,55
491172,450
491173,151
491174,216
491175,169
491176,1
491177,270
491178,200
491180,139
491181,124
491182,38
491183,518
491184,3
491185,208
491186,154
491187,50
491188,28
491189,48
491191,59
491192,133
491193,872
491194,110
491195,182
491196,34
491197,143
491198,27
491199,111
491200,100
491201,114
491203,97
491204,194
491205,934
491207,97
491209,156
491210,256
491211,740
491212,1448
491226,644
491235,182
491238,133
491240,376
491247,352
491314,924
491317,331
491318,96
491319,73
491320,108
491321,495
491340,520
491356,375
491358,29
491368,84
491385,102
491394,132
491395,42
491396,275
491397,67
491399,56
491400,260
491401,193
491403,267
491405,24
491406,485
491407,114
491408,25
491421,45
491422,687
491424,35
491425,78
491426,741
491427,306
491429,114
491431,1200
491432,104
491433,106
491434,260
491435,84
491436,6
491437,146
491438,146
491439,120
491440,1080
491442,40
491443,195
491444,19
491445,50
491447,2
491448,255
491449,520
491450,540
491452,70
491453,27
491454,80
491456,3672
491457,152
491462,245
491463,2
491464,96
491465,380
491468,625
491474,110
491479,161
491497,438
491498,77
491506,63
491508,188
491516,4
491528,147
491554,109
491555,542
491570,704
491584,308
491586,60
491587,400
491603,277
491607,135
491612,1086
491613,108
491622,253
491625,110
491627,358
491629,343
491630,207
491631,37
491633,200
491634,325
491635,1946
491636,378
491637,523
491640,148
491642,289
491643,622
491644,35
491645,90
491646,211
491647,10
491648,41
491649,134
491651,111
491652,155
491653,125
491654,215
491655,10
491656,170
491658,61
491659,229
491660,67
491661,128
491662,225
491663,53
491664,274
491665,651
491666,328
491667,62
491668,84
491669,51
491670,312
491671,298
491672,382
491673,90
491674,528
491675,253
491677,12
491678,188
491679,68
491680,96
491681,71
491682,1
491683,180
491684,149
491685,2
491686,184
491687,332
491688,58
491690,318
491691,285
491692,451
491694,93
491695,41
491696,123
491697,217
491698,650
491699,246
491700,283
491701,109
491703,299
491704,18
491706,6
491707,31
491708,48
491709,34
491710,157
491711,86
491712,494
491713,66
491714,334
491715,231
491716,146
491717,153
491718,147
491719,137
491720,121
491721,177
491722,384
491724,30
491725,10
491726,452
491729,142
491730,84
491731,72
491733,100
491734,486
491735,158
491736,346
491737,17
491738,903
491742,5
491743,184
491744,5
491745,20
491746,93
491747,48
491748,126
491750,90
491751,124
491752,362
491753,184
491754,23
491755,37
491756,138
491757,504
491758,240
491759,12
491760,21
491780,338
491782,63
491784,202
491800,2979
491803,412
491804,67
491805,903
491806,1
491807,60
491809,489
491810,507
491811,121
491812,20524
491813,126
491814,233
491815,468
491816,724
491825,256
491826,269
491828,216
491829,96
491831,68
491832,139
491833,187
491834,53
491840,100
491861,89
491868,180
491888,335
491893,163
491894,480
491923,190
491924,288
491935,343
491941,48
491949,4
491950,101
491951,928
491953,1452
491954,34
491955,24
491956,158
491957,40
491958,27
491959,56
491960,332
491961,588
491963,21
491964,10
491965,169
491967,268
491979,201
491980,164
491981,156
491982,221
491983,189
491984,146
491986,300
491987,43
491988,94
491991,4
491992,16
491993,72
491994,158
491995,161
491996,840
491997,152
491998,78
491999,217
492003,70
492004,448
492005,1016
492007,10
492008,72
492009,45
492011,164
492012,293
492014,2
492015,638
492016,60
492017,142
492018,185
492020,202
492021,144
492022,300
492035,180
492039,58
492051,364
492064,225
492071,1
492073,338
492074,381
492075,438
492076,64
492077,176
492078,62
492079,132
492080,198
492092,321
492098,1086
492117,327
492125,582
492127,280
492133,1016
492153,90
492168,245
492169,361
492170,110
492172,139
492173,121
492174,856
492175,49
492176,200
492177,83
492178,209
492179,22
492181,158
492185,3000
492202,841
492203,48
492204,228
492208,239
492209,69
492210,60
492214,204
492216,1116
492218,138
492220,84
492221,400
492222,72
492223,24
492224,261
492225,676
492227,270
492228,270
492229,206
492230,144
492231,16
492232,3
492233,22
492234,224
492235,258
492236,539
492237,870
492238,276
492239,44
492240,166
492241,977
492242,141
492244,159
492245,209
492246,597
492247,79
492248,138
492249,95
492250,114
492251,408
492252,230
492253,154
492269,475
492270,55
492271,26
492272,39
492273,12
492281,238
492282,296
492283,58
492285,56
492287,150
492290,480
492296,263
492297,119
492300,47
492302,112
492304,61
492312,161
492313,201
492314,100
492317,324
492318,147
492319,60
492321,526
492322,128
492325,418
492328,336
492340,197
492342,251
492347,1660
492348,378
492349,116
492351,9
492356,157
492357,63
492358,1086
492359,44
492360,360
492361,145
492362,1108
492367,568
492368,311
492369,123
492370,67
492371,80
492372,58
492374,365
492375,2
492376,203
492378,299
492379,197
492380,400
492383,384
492387,296
492391,225
492395,13
492397,212
492398,24
492399,168
492401,131
492403,82
492404,26
492405,100
492406,273
492407,153
492408,32
492409,75
492410,306
492412,52
492413,239
492415,456
492417,291
492418,1628
492419,187
492421,60
492423,99
492424,1
492426,130
492427,189
492428,191
492429,682
492430,48
492431,176
492432,140
492433,50
492434,326
492435,47
492436,338
492437,350
492438,139
492439,576
492440,176
492441,245
492442,44
492443,190
492444,206
492445,621
492446,220
492448,214
492449,57
492462,91
492465,62
492472,139
492484,110
492499,134
492500,4
492512,153
492516,106
492517,98
492518,593
492519,97
492520,267
492521,12
492522,127
492524,176
492525,30
492526,4
492527,192
492528,358
492529,186
492530,1
492534,42
492535,158
492536,212
492537,136
492538,113
492539,61
492540,119
492542,52
492544,96
492545,36
492546,60
492547,471
492549,368
492571,74
492578,216
492579,936
492580,111
492581,78
492582,137
492583,84
492585,276
492588,142
492589,60
492591,34
492592,408
492593,153
492594,65
492635,468
492640,258
492641,52
492643,108
492644,764
492650,1
492652,78
492659,88
492680,54
492684,92
492687,6
492705,168
492707,77
492708,210
492710,312
492711,1
492713,1
492714,121
492716,92
492717,268
492718,5
492720,103
492722,1
492723,4
492724,6560
492726,108
492727,60
492728,250
492729,147
492730,19
492731,101
492732,104
492733,158
492734,26
492735,337
492736,25
492737,127
492738,156
492740,168
492741,1
492742,517
492743,66
492744,60
492745,401
492747,41
492749,183
492750,36
492751,156
492752,1
492753,388
492760,86
492761,219
492762,394
492763,153
492764,138
492765,165
492766,268
492767,170
492768,274
492769,64
492770,42
492771,88
492772,59
492773,418
492774,140
492775,136
492776,288
492777,87
492778,175
492779,20
492780,2
492781,250
492784,126
492785,192
492792,75
492793,451
492794,96
492795,111
492796,52
492797,234
492798,94
492799,180
492800,36
492801,144
492803,231
492804,303
492805,172
492806,381
492807,177
492808,112
492809,133
492810,112
492811,90
492812,271
492813,263
492814,450
492815,49
492816,134
492817,43
492818,189
492819,384
492820,151
492822,24
492823,347
492824,2
492830,763
492832,180
492834,172
492836,50
492837,310
492839,211
492840,42
492841,1
492842,202
492843,168
492869,36
492875,76
492878,135
492891,248
492929,196
492935,1
492940,154
492942,107
492943,4512
492944,58
492945,362
492948,34
492949,120
492950,390
492951,203
492953,204
492954,30
492975,15
492993,24
493050,38
493052,151
493053,22
493069,41
493071,114
493076,7
493077,320
493139,247
493157,104
493181,8421
493183,255
493187,240
493188,15
493189,32
493200,33
493257,614
493258,1026
493266,53
493300,43
493301,198
493302,7
493303,12
493304,8
493308,126
493325,624
493326,528
493360,140
493371,176
493372,160
493375,121
493376,1
493393,1058
493395,1070
493398,28
493399,364
493407,16
493409,48
493410,5
493412,5
493414,88
493427,122
493428,84
493432,170
493433,166
493434,762
493435,962
493436,3264
493437,192
493438,288
493439,2668
493442,131
493443,147
493444,102
493446,114
493463,26
493467,229
493536,135
493537,400
493540,100
493542,71
493543,296
493546,56
493565,18
493566,86
493568,296
493569,161
493571,23
493573,676
493574,454
493575,96
493577,302
493609,100
493613,408
493619,290
493666,184
493667,883
493670,267
493671,480
493672,566
493685,665
493695,157
493696,1571
493699,72
493700,106
493701,516
493702,400
493703,390
493704,165
493706,212
493707,247
493708,315
493709,700
493710,16
493715,92
493716,310
493717,107
493718,194
493719,303
493720,177
493721,68
493722,3798
493738,274
493739,546
493755,80
493757,183
493759,493
493760,19
493761,760
493762,576
493765,1124
493793,600
493794,300
493796,984
493797,72
493798,148
493799,904
493800,392
493801,2
493802,197
493804,374
493806,4
493810,21
493812,3141
493813,97
493814,166
493815,53
493816,48
493817,198
493818,336
493819,25018
493820,61
493824,92
493825,59
493826,8
493827,320
493828,84
493834,86
493840,136
493841,385
493843,64
493844,74
493846,204
493847,290
493848,56
493860,180
493863,1888
493865,480
493866,198
493872,176
493873,342
493874,56
493875,91
493876,104
493877,998
493878,356
493880,194
493881,60
493882,594
493883,1176
493884,240
493885,2208
493886,223
493887,294
493897,1
493899,190
493900,1
493922,46
493923,295
493924,1
493925,82
493926,49
493927,388
493929,79
493930,48
493941,144
493945,67
493946,338
493947,104
493948,123
493949,58
493950,397
493951,156
493952,696
493953,274
493954,145
493955,334
493956,23
493957,96
493959,79
493960,307
493961,93
493962,213
493963,172
493964,1309
493965,52
493968,272
493969,496
493970,229
493971,47
493972,480
493973,28
493974,114
493975,308
493976,389
493977,68
493978,718
493979,182
493980,276
493981,2066
493982,95
493983,824
493985,207
493987,257
493988,92
493989,512
493990,90
493991,24
493993,246
493994,1200
493995,3403
493996,194
493997,59
493998,116
494000,464
494001,213
494002,164
494003,104
494004,357
494007,40
494008,194
494009,148
494010,45
494020,56
494021,257
494022,1200
494023,480
494026,216
494027,76
494028,202
494029,237
494032,172
494035,134
494036,100
494037,124
494040,3
494042,1
494045,1
494046,77
494047,215
494048,236
494079,75
494108,630
494110,263
494113,120
494118,864
494119,136
494120,150
494128,24
494139,97
494140,44
494141,336
494142,36
494143,452
494146,194
494148,389
494149,224
494150,52
494153,171
494154,305
494157,313
494160,168
494161,198
494163,32
494164,3
494165,84
494167,32
494169,68
494170,134
494206,300
494207,133
494208,78
494209,95
494210,192
494211,74
494212,338
494213,92
494214,818
494216,866
494217,88
494218,77
494227,379
494228,191
494229,719
494230,6
494233,1301
494234,1
494235,370
494236,96
494237,114
494239,398
494240,178
494241,182
494243,7782
494244,4980
494246,15
494264,329
494267,118
494268,160
494269,369
494272,298
494275,144
494276,138
494277,804
494278,372
494280,343
494281,244
494327,165
494335,151
494336,462
494338,234
494339,432
494342,42
494343,53
494344,60
494345,221
494348,1
494349,64
494351,1
494354,587
494357,512
494359,276
494362,45
494364,540
494383,50
494384,228
494385,296
494389,243
494390,524
494391,172
494392,51
494394,158
494395,476
494416,238
494419,4
494429,32
494432,800
494433,96
494434,83
494435,72
494436,197
494437,117
494439,110
494440,120
494441,96
494442,325
494443,91
494445,118
494447,148
494450,5
494451,105
494454,42
494455,176
494456,231
494458,12
494459,383
494467,225
494468,156
494469,284
494470,24
494471,650
494473,487
494475,75
494476,344
494478,396
494479,540
494480,316
494481,176
494482,879
494483,202
494484,325
494490,170
494498,6
494499,158
494503,160
494504,177
494505,75
494506,146
494507,129
494508,68
494509,48
494510,146
494511,479
494512,114
494513,3
494514,224
494515,3130
494516,186
494518,200
494529,165
494533,50
494585,5
494586,83
494587,36
494588,174
494589,162
494590,1
494591,16
494594,107
494603,122
494605,13
494606,230
494607,30
494608,168
494611,48
494612,61
494613,227
494614,166
494616,84
494617,76
494618,135
494619,262
494620,156
494621,91
494622,27
494623,75
494624,102
494625,184
494627,68
494630,181
494632,154
494634,253
494635,119
494636,101
494637,61
494638,98
494639,647
494640,440
494641,515
494642,168
494643,1955
494644,412
494645,133
494646,68
494647,508
494648,150
494649,75
494651,358
494652,155
494653,328
494654,276
494655,112
494656,120
494657,113
494658,53
494659,138
494660,138
494661,70
494662,314
494663,88
494664,195
494665,293
494666,670
494667,48
494668,143
494669,75
494670,363
494671,210
494672,39
494673,325
494674,54
494676,31
494677,79
494678,3160
494679,215
494680,105
494681,166
494682,156
494683,138
494684,51
494686,48
494687,12
494732,351
494762,102
494768,474
494778,155
494779,148
494780,193
494783,272
494785,503
494787,119
494788,2
494789,49
494790,93
494792,147
494794,142
494795,54
494797,55
494798,158
494799,443
494803,110
494804,322
494805,2
494807,84
494808,120
494809,1
494811,132
494815,127
494816,58
494817,522
494818,36
494819,74
494823,96
494827,210
494836,114
494847,201
494860,95
494866,655
494867,94
494868,421
494870,424
494871,340
494872,85
494873,307
494874,220
494875,3373
494876,45
494878,56
494887,91
494888,36
494889,145
494890,47
494891,391
494892,6
494893,348
494894,60
494895,315
494896,221
494897,334
494898,138
494899,4
494900,326
494904,232
494905,232
494906,242
494908,144
494912,707
494913,79
494914,538
494915,617
494916,103
494917,90
494919,1432
494920,28
494921,36
494922,168
494930,1200
494931,537
494946,372
494966,123
494971,172
494987,400
494989,124
494990,283
494991,115
494993,93
494994,32
494995,288
494996,44
494997,216
495009,315
495010,53
495011,108
495016,393
495020,299
495022,2
495028,114
495029,144
495030,576
495031,180
495033,55
495053,63
495055,1
495056,1
495057,97
495058,98
495059,136
495071,300
495072,364
495073,1358
495074,107
495075,208
495077,186
495078,36
495079,205
495080,17
495085,135
495090,273
495102,543
495110,93
495148,354
495149,130
495150,94
495151,115
495152,250
495153,129
495154,24
495158,118
495171,23
495176,178
495177,310
495178,289
495179,58
495182,196
495183,559
495184,72
495185,776
495187,215
495188,143
495189,92
495192,198
495193,102
495194,63302
495195,235
495196,18
495197,154
495198,244
495200,158
495206,157
495208,3
495215,121
495224,17
495225,102
495226,35
495227,118
495228,6644
495229,664
495230,598
495232,597
495233,240
495235,1
495236,440
495237,452
495238,306
495240,300
495241,130
495242,2
495243,101
495244,557
495276,146
495277,50
495279,164
495280,193
495289,200
495290,124
495291,178
495292,83
495293,63
495294,132
495295,5
495300,434
495302,90
495304,394
495307,585
495308,7
495310,1074
495311,68
495312,171
495313,232
495314,95
495316,8
495317,471
495318,20
495322,142
495331,465
495333,1
495340,364
495344,340
495345,262
495346,136
495347,61
495348,225
495349,231
495350,85
495351,189
495352,97
495353,72
495354,272
495355,157
495356,38
495357,104
495358,544
495359,926
495360,342
495361,56
495362,633
495364,39
495365,199
495366,157
495367,86
495369,313
495370,12
495371,127
495372,179
495374,207
495375,123
495376,33
495377,198
495378,47
495379,189
495380,110
495381,255
495382,112
495383,158
495384,48
495385,76
495386,67
495387,272
495388,229
495389,82
495390,88
495391,151
495392,73
495393,167
495394,20
495395,170
495396,173
495397,99
495398,223
495399,381
495400,81
495401,403
495402,126
495404,310
495405,95
495407,185
495408,33
495409,99
495414,32
495415,99
495439,144
495456,174
495467,500
495487,581
495488,194
495501,149
495503,218
495504,340
495505,46
495506,10
495507,343
495508,510
495509,206
495510,81
495512,490
495514,70
495524,5
495526,279
495527,51
495529,221
495530,200
495531,90
495533,50
495534,478
495536,89
495544,52
495546,743
495547,138
495548,8
495549,256
495551,58
495575,254
495576,187
495577,290
495578,214
495580,116
495581,314
495584,130
495591,12832
495605,226
495609,3
495633,55
495634,86
495676,256
495677,200
495678,222
495680,253
495681,312
495682,211
495683,139
495684,18
495686,211
495687,32
495688,169
495689,411
495699,1046
495700,24
495702,6
495703,167
495706,201
495707,242
495708,201
495710,463
495711,312
495712,392
495713,52
495715,37
495716,322
495718,80
495719,45
495720,237
495721,79
495722,286
495724,80
495725,424
495726,96
495727,84
495731,170
495733,1
495734,1
495735,1
495736,1
495742,1
495745,1
495746,111
495747,1
495748,1
495750,1
495753,1
495754,1
495755,1
495756,1
495758,1
495760,1
495763,1
495765,1
495766,1
495773,1
495776,1
495777,1
495780,1
495782,1
495783,1
495784,1
495788,1
495791,1
495792,1
495794,1
495795,1
495799,1
495801,1
495802,1
495806,304
495807,42
495808,80
495809,330
495810,248
495811,285
495812,202
495815,569
495818,167
495819,151
495854,139
495875,160
495880,400
495882,188
495883,240
495884,99
495885,144
495886,34
495887,31
495889,118
495898,105
495906,4872
495907,310
495908,1640
495909,21
495910,90
495912,436
495913,228
495915,228
495916,307
495917,244
495918,2
495919,287
495920,380
495921,239
495925,212
495928,560
495929,262
495935,94
495936,587
495937,264
495938,242
495939,127
495940,84
495941,39
495942,32
495945,673
495946,22
495947,434
495949,53
495950,2
495954,436
495955,267
495956,120
495957,334
495958,117
495960,288
495962,290
495963,272
495993,69
495994,379
495995,19
496002,253
496003,69
496004,74
496007,419
496008,627
496010,74
496011,72
496012,378
496013,362
496014,72
496017,52
496019,22
496020,8
496022,2
496023,42
496024,408
496033,158
496042,109
496047,430
496054,452
496056,32
496057,210
496058,279
496059,1
496060,270
496061,270
496062,359
496063,330
496065,90
496066,192
496067,72
496068,70
496069,406
496070,70
496072,446
496073,444
496074,135
496075,40
496081,177
496083,2
496085,42
496086,252
496088,423
496089,452
496092,164
496093,520
496094,280
496095,13
496096,266
496097,500
496099,220
496103,15
496107,10
496110,15
496112,15
496113,10
496115,1
496130,189
496155,238
496166,188
496167,240
496168,116
496170,4
496171,14
496172,144
496173,70
496174,144
496198,340
496200,202
496201,119
496203,1
496204,836
496205,70
496216,232
496217,109
496220,248
496221,104
496222,372
496230,5
496232,260
496233,101
496235,268
496236,34
496237,1547
496238,12
496245,56
496288,320
496291,65
496292,55
496293,187
496294,142
496296,21
496297,161
496299,410
496300,165
496301,408
496302,96
496303,253
496304,120
496305,157
496306,231
496307,34
496308,612
496309,373
496310,132
496311,21
496313,362
496315,138
496316,96
496317,179
496318,68
496319,56
496321,112
496322,345
496323,72
496324,151
496325,304
496326,101
496327,281
496329,82
496330,630
496331,438
496333,150
496334,550
496335,66
496337,118
496338,80
496339,137
496340,802
496341,869
496342,236
496343,277
496344,100
496345,45
496348,113
496349,228
496351,79
496354,98
496355,432
496356,222
496357,249
496359,2
496361,77
496363,197
496370,228
496373,308
496374,40
496381,98
496399,223
496400,430
496407,57
496412,96
496425,60
496426,12
496427,90
496428,156
496429,43
496430,32
496431,137
496434,250
496436,107
496438,244
496439,2
496440,60
496441,131
496442,16
496443,543
496444,74
496445,439
496446,101
496459,171
496460,55
496461,144
496462,106
496463,605
496464,344
496465,294
496466,2
496467,1
496469,84
496470,176
496471,106
496473,150
496474,117
496475,208
496476,15
496477,36
496480,180
496486,130
496488,72
496491,42
496493,2
496496,2
496500,81
496502,508
496503,157
496504,166
496505,148
496506,241
496507,70
496509,84
496510,446
496512,191
496513,230
496514,247
496516,355
496517,286
496518,201
496519,196
496520,675
496528,312
496529,58
496530,270
496534,460
496551,579
496564,490
496577,200
496578,440
496579,106
496580,17
496581,105
496582,36
496584,1
496587,80
496588,158
496589,464
496590,10
496592,360
496595,160
496597,1144
496609,156
496611,712
496612,236
496613,144
496614,216
496616,309
496617,88
496618,20
496623,245
496624,292
496625,344
496626,563
496627,12
496628,103
496629,24
496631,171
496641,90
496642,146
496643,643
496644,61
496651,206
496652,8
496662,54
496665,469
496675,101
496677,48
496690,193
496703,591
496704,345
496705,255
496706,413
496710,37
496725,41
496728,129
496730,402
496737,117
496745,343
496750,104
496768,313
496770,132
496771,236
496772,431
496773,402
496774,170
496775,54
496792,84
496802,376
496803,14
496816,97
496817,128
496818,203
496821,309
496822,662
496829,358
496850,172
496851,157
496862,42
496863,306
496864,208
496865,42
496866,109
496867,500
496868,35
496869,326
496870,30
496871,270
496872,226
496873,18
496876,31
496877,648
496881,58
496882,367
496900,837
496904,180
496907,260
496911,203
496912,260
496913,185
496914,5
496915,231
496916,1
496917,229
496918,167
496919,260
496920,109
496921,296
496925,7
496926,327
496927,56
496928,65
496929,196
496930,226
496931,158
496932,183
496933,159
496934,55
496935,86
496944,61
496945,680
496946,191
496947,326
496948,161
496949,67
496959,300
496961,83
496962,300
496963,144
496972,112
496973,135
496974,988
496975,158
496976,37
496977,217
496978,237
496980,108
496981,112
496982,29
496987,288
496990,771
496994,1296
496996,80
497000,41
497002,292
497004,80
497005,120
497006,420
497007,44
497025,125
497027,391
497029,319
497030,242
497031,70
497033,222
497035,416
497036,234
497039,1
497043,235
497056,168
497073,50
497084,126
497100,374
497106,37
497124,256
497152,28
497157,1190
497163,12
497195,51
497196,99
497197,239
497198,103
497200,54
497201,569
497202,88
497203,217
497204,185
497205,36
497207,96
497208,105
497209,258
497210,87
497211,66
